127.0.0.1 - - [23/May/2024:21:33:20 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [23/May/2024:22:51:11 +0530] "GET /HospitalManagementSystem/AddPatient.jsp HTTP/1.1" 200 6926
0:0:0:0:0:0:0:1 - - [23/May/2024:22:51:49 +0530] "GET /HospitalManagementSystem/AddPatient.jsp HTTP/1.1" 200 6926
0:0:0:0:0:0:0:1 - - [23/May/2024:22:53:50 +0530] "GET /HospitalManagementSystem/AddPatient.jsp HTTP/1.1" 200 13742
0:0:0:0:0:0:0:1 - - [23/May/2024:22:54:12 +0530] "GET /HospitalManagementSystem/AddPatient.jsp HTTP/1.1" 200 13742
0:0:0:0:0:0:0:1 - - [23/May/2024:22:54:13 +0530] "GET /HospitalManagementSystem/AddPatient.jsp HTTP/1.1" 200 13742
0:0:0:0:0:0:0:1 - - [23/May/2024:22:56:16 +0530] "GET /HospitalManagementSystem/AddPatient.jsp HTTP/1.1" 200 6784
0:0:0:0:0:0:0:1 - - [23/May/2024:22:57:45 +0530] "GET /HospitalManagementSystem/AddPatient.jsp HTTP/1.1" 200 6792
0:0:0:0:0:0:0:1 - - [23/May/2024:22:58:17 +0530] "GET /HospitalManagementSystem/AddPatient.jsp HTTP/1.1" 200 6800
0:0:0:0:0:0:0:1 - - [23/May/2024:22:58:41 +0530] "POST /HospitalManagementSystem/PatientController HTTP/1.1" 500 1495
0:0:0:0:0:0:0:1 - - [23/May/2024:22:58:52 +0530] "POST /HospitalManagementSystem/PatientController HTTP/1.1" 500 1495
0:0:0:0:0:0:0:1 - - [23/May/2024:22:58:58 +0530] "POST /HospitalManagementSystem/PatientController HTTP/1.1" 500 1495
0:0:0:0:0:0:0:1 - - [23/May/2024:23:00:16 +0530] "POST /HospitalManagementSystem/viewBill.jsp HTTP/1.1" 200 4666
0:0:0:0:0:0:0:1 - - [23/May/2024:23:00:22 +0530] "POST /HospitalManagementSystem/viewmedicine.jsp HTTP/1.1" 200 6144
0:0:0:0:0:0:0:1 - - [23/May/2024:23:01:18 +0530] "POST /HospitalManagementSystem/viewBill.jsp HTTP/1.1" 200 4666
0:0:0:0:0:0:0:1 - - [23/May/2024:23:01:25 +0530] "POST /HospitalManagementSystem/PatientController HTTP/1.1" 500 1495
0:0:0:0:0:0:0:1 - - [23/May/2024:23:01:29 +0530] "POST /HospitalManagementSystem/viewBill.jsp HTTP/1.1" 200 4666
0:0:0:0:0:0:0:1 - - [23/May/2024:23:01:35 +0530] "POST /HospitalManagementSystem/viewmedicine.jsp HTTP/1.1" 200 6144
0:0:0:0:0:0:0:1 - - [23/May/2024:23:01:38 +0530] "POST /HospitalManagementSystem/viewPatient.jsp HTTP/1.1" 200 6897
0:0:0:0:0:0:0:1 - - [23/May/2024:23:02:21 +0530] "POST /HospitalManagementSystem/PatientController HTTP/1.1" 500 1495
0:0:0:0:0:0:0:1 - - [23/May/2024:23:03:28 +0530] "GET /HospitalManagementSystem/AddPatient.jsp HTTP/1.1" 200 6805
0:0:0:0:0:0:0:1 - - [23/May/2024:23:03:30 +0530] "POST /HospitalManagementSystem/PatientController HTTP/1.1" 500 1495
0:0:0:0:0:0:0:1 - - [23/May/2024:23:05:19 +0530] "GET /HospitalManagementSystem/AddPatient.jsp HTTP/1.1" 200 6804
0:0:0:0:0:0:0:1 - - [23/May/2024:23:06:16 +0530] "GET /HospitalManagementSystem/AddPatient.jsp HTTP/1.1" 200 6804
0:0:0:0:0:0:0:1 - - [23/May/2024:23:07:16 +0530] "GET /HospitalManagementSystem/AddPatient.jsp HTTP/1.1" 200 6791
0:0:0:0:0:0:0:1 - - [23/May/2024:23:07:40 +0530] "GET /HospitalManagementSystem/AddPatient.jsp HTTP/1.1" 200 6791
0:0:0:0:0:0:0:1 - - [23/May/2024:23:08:22 +0530] "GET /HospitalManagementSystem/AddPatient.jsp HTTP/1.1" 200 6775
0:0:0:0:0:0:0:1 - - [23/May/2024:23:08:53 +0530] "GET /HospitalManagementSystem/AddPatient.jsp HTTP/1.1" 200 6775
0:0:0:0:0:0:0:1 - - [23/May/2024:23:09:06 +0530] "GET /HospitalManagementSystem/AddPatient.jsp HTTP/1.1" 200 6775
0:0:0:0:0:0:0:1 - - [23/May/2024:23:09:53 +0530] "GET /HospitalManagementSystem/AddPatient.jsp HTTP/1.1" 200 6971
0:0:0:0:0:0:0:1 - - [23/May/2024:23:09:56 +0530] "GET /HospitalManagementSystem/AddPatient.jsp HTTP/1.1" 200 6971
0:0:0:0:0:0:0:1 - - [23/May/2024:23:09:58 +0530] "GET /HospitalManagementSystem/AddPatient.jsp HTTP/1.1" 200 6971
0:0:0:0:0:0:0:1 - - [23/May/2024:23:10:16 +0530] "GET /HospitalManagementSystem/AddPatient.jsp HTTP/1.1" 200 6971
0:0:0:0:0:0:0:1 - - [23/May/2024:23:10:54 +0530] "GET /HospitalManagementSystem/AddPatient.jsp HTTP/1.1" 200 6971
0:0:0:0:0:0:0:1 - - [23/May/2024:23:11:11 +0530] "GET /HospitalManagementSystem/AddPatient.jsp HTTP/1.1" 200 6860
0:0:0:0:0:0:0:1 - - [23/May/2024:23:11:36 +0530] "GET /HospitalManagementSystem/AddPatient.jsp HTTP/1.1" 200 6949
0:0:0:0:0:0:0:1 - - [23/May/2024:23:15:11 +0530] "GET /HospitalManagementSystem/AddPatient.jsp HTTP/1.1" 200 6962
0:0:0:0:0:0:0:1 - - [23/May/2024:23:15:14 +0530] "GET /HospitalManagementSystem/AddPatient.jsp HTTP/1.1" 200 6962
0:0:0:0:0:0:0:1 - - [23/May/2024:23:16:53 +0530] "GET /HospitalManagementSystem/AddPatient.jsp HTTP/1.1" 200 6954
0:0:0:0:0:0:0:1 - - [23/May/2024:23:17:18 +0530] "GET /HospitalManagementSystem/AddPatient.jsp HTTP/1.1" 200 7162
0:0:0:0:0:0:0:1 - - [23/May/2024:23:17:29 +0530] "GET /HospitalManagementSystem/AddPatient.jsp HTTP/1.1" 200 7162
0:0:0:0:0:0:0:1 - - [23/May/2024:23:18:01 +0530] "GET /HospitalManagementSystem/AddPatient.jsp HTTP/1.1" 200 7164
0:0:0:0:0:0:0:1 - - [23/May/2024:23:18:22 +0530] "GET /HospitalManagementSystem/AddPatient.jsp HTTP/1.1" 200 7164
0:0:0:0:0:0:0:1 - - [23/May/2024:23:18:26 +0530] "GET /HospitalManagementSystem/AddPatient.jsp HTTP/1.1" 200 7164
0:0:0:0:0:0:0:1 - - [23/May/2024:23:18:27 +0530] "GET /HospitalManagementSystem/AddPatient.jsp HTTP/1.1" 200 7164
0:0:0:0:0:0:0:1 - - [23/May/2024:23:18:27 +0530] "GET /HospitalManagementSystem/AddPatient.jsp HTTP/1.1" 200 7164
0:0:0:0:0:0:0:1 - - [23/May/2024:23:18:27 +0530] "GET /HospitalManagementSystem/AddPatient.jsp HTTP/1.1" 200 7164
0:0:0:0:0:0:0:1 - - [23/May/2024:23:18:27 +0530] "GET /HospitalManagementSystem/AddPatient.jsp HTTP/1.1" 200 7164
0:0:0:0:0:0:0:1 - - [23/May/2024:23:18:41 +0530] "GET /HospitalManagementSystem/AddPatient.jsp HTTP/1.1" 200 7164
0:0:0:0:0:0:0:1 - - [23/May/2024:23:19:11 +0530] "GET /HospitalManagementSystem/AddPatient.jsp HTTP/1.1" 200 7164
0:0:0:0:0:0:0:1 - - [23/May/2024:23:19:59 +0530] "GET /HospitalManagementSystem/AddPatient.jsp HTTP/1.1" 200 7074
0:0:0:0:0:0:0:1 - - [23/May/2024:23:20:17 +0530] "GET /HospitalManagementSystem/AddPatient.jsp HTTP/1.1" 200 7074
0:0:0:0:0:0:0:1 - - [23/May/2024:23:22:16 +0530] "GET /HospitalManagementSystem/AddPatient.jsp HTTP/1.1" 200 7074
0:0:0:0:0:0:0:1 - - [23/May/2024:23:22:19 +0530] "GET /HospitalManagementSystem/AddPatient.jsp HTTP/1.1" 200 7074
0:0:0:0:0:0:0:1 - - [23/May/2024:23:22:43 +0530] "GET /HospitalManagementSystem/AddPatient.jsp HTTP/1.1" 200 7075
0:0:0:0:0:0:0:1 - - [23/May/2024:23:22:46 +0530] "GET /HospitalManagementSystem/AddPatient.jsp HTTP/1.1" 200 7075
0:0:0:0:0:0:0:1 - - [23/May/2024:23:23:22 +0530] "GET /HospitalManagementSystem/AddPatient.jsp HTTP/1.1" 200 7075
0:0:0:0:0:0:0:1 - - [23/May/2024:23:23:57 +0530] "GET /HospitalManagementSystem/AddPatient.jsp HTTP/1.1" 200 7070
0:0:0:0:0:0:0:1 - - [23/May/2024:23:24:01 +0530] "GET /HospitalManagementSystem/AddPatient.jsp HTTP/1.1" 200 7070
0:0:0:0:0:0:0:1 - - [23/May/2024:23:24:02 +0530] "GET /HospitalManagementSystem/AddPatient.jsp HTTP/1.1" 200 7070
0:0:0:0:0:0:0:1 - - [23/May/2024:23:24:03 +0530] "GET /HospitalManagementSystem/AddPatient.jsp HTTP/1.1" 200 7070
0:0:0:0:0:0:0:1 - - [23/May/2024:23:24:03 +0530] "GET /HospitalManagementSystem/AddPatient.jsp HTTP/1.1" 200 7070
0:0:0:0:0:0:0:1 - - [23/May/2024:23:24:03 +0530] "GET /HospitalManagementSystem/AddPatient.jsp HTTP/1.1" 200 7070
0:0:0:0:0:0:0:1 - - [23/May/2024:23:24:04 +0530] "GET /HospitalManagementSystem/AddPatient.jsp HTTP/1.1" 200 7070
0:0:0:0:0:0:0:1 - - [23/May/2024:23:24:04 +0530] "GET /HospitalManagementSystem/AddPatient.jsp HTTP/1.1" 200 7070
0:0:0:0:0:0:0:1 - - [23/May/2024:23:24:04 +0530] "GET /HospitalManagementSystem/AddPatient.jsp HTTP/1.1" 200 7070
0:0:0:0:0:0:0:1 - - [23/May/2024:23:24:04 +0530] "GET /HospitalManagementSystem/AddPatient.jsp HTTP/1.1" 200 7070
0:0:0:0:0:0:0:1 - - [23/May/2024:23:24:04 +0530] "GET /HospitalManagementSystem/AddPatient.jsp HTTP/1.1" 200 7070
0:0:0:0:0:0:0:1 - - [23/May/2024:23:24:05 +0530] "GET /HospitalManagementSystem/AddPatient.jsp HTTP/1.1" 200 7070
0:0:0:0:0:0:0:1 - - [23/May/2024:23:25:18 +0530] "GET /HospitalManagementSystem/AddPatient.jsp HTTP/1.1" 200 7244
0:0:0:0:0:0:0:1 - - [23/May/2024:23:28:40 +0530] "GET /HospitalManagementSystem/bill.jsp HTTP/1.1" 500 2396
0:0:0:0:0:0:0:1 - - [23/May/2024:23:29:05 +0530] "GET /HospitalManagementSystem/allLogin.jsp HTTP/1.1" 200 1623
0:0:0:0:0:0:0:1 - - [23/May/2024:23:29:05 +0530] "GET /HospitalManagementSystem/images/rec-removebg-preview.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2024:23:29:05 +0530] "GET /HospitalManagementSystem/images/admin1-removebg-preview%20(1).png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2024:23:29:05 +0530] "GET /HospitalManagementSystem/images/doctor1-removebg-preview.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2024:23:29:05 +0530] "GET /HospitalManagementSystem/images/alllogin.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2024:23:29:09 +0530] "GET /HospitalManagementSystem/ReceptioniestLogin.jsp HTTP/1.1" 200 1254
0:0:0:0:0:0:0:1 - - [23/May/2024:23:29:09 +0530] "GET /HospitalManagementSystem/images/rep.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2024:23:29:25 +0530] "POST /HospitalManagementSystem/RecepLogin HTTP/1.1" 200 3949
0:0:0:0:0:0:0:1 - - [23/May/2024:23:29:28 +0530] "GET /HospitalManagementSystem/RespDoctor.jsp HTTP/1.1" 200 6046
0:0:0:0:0:0:0:1 - - [23/May/2024:23:29:30 +0530] "GET /HospitalManagementSystem/AddPatientRecep.jsp HTTP/1.1" 200 6928
0:0:0:0:0:0:0:1 - - [23/May/2024:23:29:35 +0530] "POST /HospitalManagementSystem/viewpatientrecep.jsp HTTP/1.1" 200 8137
0:0:0:0:0:0:0:1 - - [23/May/2024:23:29:43 +0530] "POST /HospitalManagementSystem/viewBillRecep.jsp HTTP/1.1" 200 6054
0:0:0:0:0:0:0:1 - - [23/May/2024:23:29:56 +0530] "POST /HospitalManagementSystem/viewpatientrecep.jsp HTTP/1.1" 200 8137
0:0:0:0:0:0:0:1 - - [23/May/2024:23:30:02 +0530] "GET /HospitalManagementSystem/bill.jsp?pid=5 HTTP/1.1" 200 3106
0:0:0:0:0:0:0:1 - - [23/May/2024:23:30:02 +0530] "GET /HospitalManagementSystem/images/bill.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2024:23:30:31 +0530] "GET /HospitalManagementSystem/bill.jsp?pid=5 HTTP/1.1" 200 3086
0:0:0:0:0:0:0:1 - - [23/May/2024:23:31:31 +0530] "GET /HospitalManagementSystem/bill.jsp?pid=5 HTTP/1.1" 200 3079
0:0:0:0:0:0:0:1 - - [23/May/2024:23:31:57 +0530] "GET /HospitalManagementSystem/bill.jsp?pid=5 HTTP/1.1" 200 3078
0:0:0:0:0:0:0:1 - - [23/May/2024:23:51:50 +0530] "GET /HospitalManagementSystem/DoctorLogin.jsp HTTP/1.1" 200 3277
0:0:0:0:0:0:0:1 - - [23/May/2024:23:51:50 +0530] "GET /HospitalManagementSystem/images/receplogin.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2024:23:52:19 +0530] "GET /HospitalManagementSystem/DoctorLogin.jsp HTTP/1.1" 200 3260
0:0:0:0:0:0:0:1 - - [23/May/2024:23:53:40 +0530] "GET /HospitalManagementSystem/DoctorLogin.jsp HTTP/1.1" 200 3240
0:0:0:0:0:0:0:1 - - [23/May/2024:23:54:07 +0530] "GET /HospitalManagementSystem/DoctorLogin.jsp HTTP/1.1" 200 3240
0:0:0:0:0:0:0:1 - - [23/May/2024:23:55:06 +0530] "GET /HospitalManagementSystem/DoctorLogin.jsp HTTP/1.1" 200 3230
0:0:0:0:0:0:0:1 - - [23/May/2024:23:59:58 +0530] "GET /HospitalManagementSystem/AddPatient.jsp HTTP/1.1" 200 7066
